name,parent_region__name,gibdd_code,ya_name,slug
Кушнаренковский,Республика Башкортостан,80240,Кушнаренковский район,kushnarenkovskii
Барнаул,Алтайский край,14011,,barnaul
Атнинский район,Республика Татарстан (Татарстан),92213,Атнинский район,atninskii-raion
Республика Хакасия,,95,,respublika-khakasiia
Арский район,Республика Татарстан (Татарстан),92212,Арский район,arskii-raion
Таштапский район,Республика Хакасия,95225,,tashtapskii-raion
Атяшевский район,Республика Мордовия,89207,Атяшевский район,atiashevskii-raion
Республика Тыва,,93,,respublika-tyva
Атюрьевский район,Республика Мордовия,89205,Атюрьевский район,atiurevskii-raion
Кызыл,Республика Тыва,93401,,kyzyl
Воткинский район,Удмуртская Республика,94208,Воткинский район,votkinskii-raion
Ардатовский район,Республика Мордовия,89203,Ардатовский район,ardatovskii-raion
Алнашский район,Удмуртская Республика,94202,Алнашский район,alnashskii-raion
Тулунский район,Иркутская область,25238,,tulunskii-raion
Тайшетский район,Иркутская область,25236,,taishetskii-raion
Рыбинский район,Красноярский край,4247,,rybinskii-raion
Канский район,Красноярский край,4221,,kanskii-raion
Можга,Удмуртская Республика,94430,Можга,mozhga
Республика Крым,,35,,respublika-krym
Глазов,Удмуртская Республика,94420,Глазов,glazov
Цильнинский район,Ульяновская область,73254,,tsilninskii-raion
Ярковский район,Тюменская область,712581,Ярковский район,iarkovskii-raion
Гурьевский район,Кемеровская область - Кузбасс,32202,,gurevskii-raion
Ленинск-Кузнецкий,Кемеровская область - Кузбасс,32213,,leninsk-kuznetskii
Миасс,Челябинская область,75434,Миасс,miass
Шурышкарский район,Ямало-Ненецкий автономный округ,71166,Шурышкарский район,shuryshkarskii-raion
Шелопугинский район,Забайкальский край,76252,,shelopuginskii-raion
Каменский,Свердловская область,652221,Каменский городской округ,kamenskii
Чернышевский район,Забайкальский край,76248,,chernyshevskii-raion
Шадринский район,Курганская область,37238,Шадринский район,shadrinskii-raion
Немецкий национальный район,Алтайский край,12601,,nemetskii-natsionalnyi-raion
Шипуновский район,Алтайский край,12591,,shipunovskii-raion
Майминский район,Республика Алтай,84215,Майминский район,maiminskii-raion
Бейский район,Республика Хакасия,95212,,beiskii-raion
Сургутский район,Ханты-Мансийский автономный округ - Югра,71126,Сургутский район,surgutskii-raion
